# amide: ROI Analysis File - generated on Fri Aug 20 21:23:56 2010
#
# Study:	XXXXXXXXXXXX
#
# ROI:	tumor	Type:	ellipsoid
#   Data Set:	XXXXXXXXXXXX	Scaling Factor:	1
#   Frame 0, Gate 0
#      Value	      Weight	      X (mm)	      Y (mm)	      Z (mm)
     1.76661	           1	    -113.867	     19.3359	        42.5
     1.76616	           1	    -122.461	     32.2266	       12.75
     1.76499	           1	    -118.164	     36.5234	       12.75
     1.76331	           1	    -126.758	     15.0391	          17
      1.7623	           1	    -122.461	     23.6328	       38.25
     1.76226	           1	    -126.758	     10.7422	       21.25
     1.76206	           1	    -122.461	     27.9297	          17
     1.76124	           1	    -122.461	     10.7422	       38.25
     1.76121	           1	    -126.758	     19.3359	         8.5
     1.76049	           1	    -122.461	     36.5234	       21.25
     1.76037	           1	     -109.57	     19.3359	       21.25
     1.76007	           1	     -109.57	     10.7422	          34
     1.75977	           1	    -135.352	     10.7422	          34
     1.75976	           1	    -113.867	     23.6328	       46.75
     1.75886	           1	    -118.164	     27.9297	         8.5
     1.75841	           1	    -135.352	     19.3359	          17
      1.7584	           1	    -113.867	     23.6328	          51
     1.75807	           1	    -131.055	     23.6328	           0
     1.75801	           1	    -122.461	     10.7422	          17
     1.75738	           1	    -118.164	     19.3359	        42.5
     1.75689	           1	    -131.055	     23.6328	       12.75
     1.75462	           1	    -113.867	     27.9297	       46.75
     1.75451	           1	    -122.461	     15.0391	       38.25
     1.75451	           1	    -122.461	     27.9297	       38.25
     1.75432	           1	    -122.461	     36.5234	        4.25
     1.75419	           1	    -113.867	     15.0391	          17
       1.754	           1	    -122.461	     6.44531	        25.5
      1.7539	           1	    -126.758	     19.3359	       38.25
      1.7533	           1	    -118.164	     19.3359	         8.5
     1.75257	           1	     -109.57	     10.7422	       29.75
     1.75256	           1	     -109.57	     32.2266	        4.25
     1.75204	           1	    -131.055	     10.7422	       21.25
     1.75167	           1	    -122.461	     19.3359	       38.25
     1.75134	           1	    -139.648	     10.7422	          17
     1.74993	           1	    -135.352	     15.0391	        42.5
     1.74963	           1	    -126.758	     19.3359	          17
     1.74948	           1	    -113.867	     19.3359	       12.75
     1.74935	           1	    -126.758	     19.3359	           0
     1.74934	           1	    -131.055	     19.3359	          17
     1.74923	           1	    -135.352	     15.0391	       29.75
     1.74788	           1	     -109.57	     32.2266	          51
     1.74783	           1	    -122.461	     32.2266	          34
     1.74763	           1	    -135.352	     27.9297	        25.5
     1.74746	           1	    -126.758	     23.6328	           0
     1.74708	           1	     -109.57	     23.6328	       46.75
     1.74551	           1	    -126.758	     27.9297	         8.5
     1.74507	           1	    -126.758	     23.6328	          17
     1.74443	           1	    -135.352	     6.44531	          34
     1.74439	           1	    -122.461	     15.0391	         8.5
     1.74259	           1	     -109.57	     27.9297	       46.75
     1.74243	           1	    -131.055	     19.3359	       12.75
     1.74234	           1	    -135.352	     19.3359	          34
     1.74132	           1	    -126.758	     6.44531	       38.25
     1.74131	           1	    -118.164	     27.9297	          51
     1.74114	           1	    -113.867	     10.7422	        25.5
      1.7409	           1	    -113.867	     32.2266	          34
     1.74077	           1	    -118.164	     27.9297	       38.25
     1.74017	           1	     -109.57	     36.5234	       21.25
     1.73654	           1	    -126.758	     23.6328	       38.25
     1.73505	           1	     -109.57	     19.3359	       46.75
      1.7342	           1	    -135.352	     19.3359	       12.75
     1.73262	           1	    -126.758	     23.6328	      -12.75
     1.73209	           1	    -118.164	     23.6328	       38.25
     1.73184	           1	    -139.648	     19.3359	          17
     1.73168	           1	    -118.164	     23.6328	         8.5
      1.7315	           1	    -118.164	     15.0391	       46.75
     1.73131	           1	    -139.648	     19.3359	        25.5
     1.73087	           1	    -118.164	     32.2266	          34
     1.72985	           1	     -109.57	     19.3359	          17
     1.72787	           1	    -131.055	     23.6328	         8.5
     1.72781	           1	    -118.164	     40.8203	         8.5
     1.72777	           1	     -109.57	     36.5234	        25.5
     1.72699	           1	    -122.461	     6.44531	          34
     1.72669	           1	    -118.164	     19.3359	       38.25
     1.72621	           1	    -105.273	     32.2266	       12.75
     1.72494	           1	    -118.164	     27.9297	       46.75
     1.72471	           1	    -113.867	     40.8203	          17
     1.72406	           1	    -122.461	     36.5234	         8.5
     1.72395	           1	     -109.57	     32.2266	          34
     1.72357	           1	    -122.461	     32.2266	          17
      1.7233	           1	    -118.164	     27.9297	        4.25
     1.72246	           1	    -113.867	     32.2266	        42.5
     1.72242	           1	    -113.867	     27.9297	         8.5
     1.72242	           1	    -113.867	     10.7422	       46.75
     1.72215	           1	    -122.461	     15.0391	        4.25
     1.72156	           1	    -135.352	     10.7422	       29.75
     1.72079	           1	    -118.164	     36.5234	       29.75
      1.7192	           1	    -118.164	     15.0391	         8.5
     1.71919	           1	    -122.461	     19.3359	        4.25
     1.71824	           1	    -131.055	     19.3359	       38.25
     1.71779	           1	    -118.164	     23.6328	        42.5
     1.71739	           1	    -118.164	     23.6328	       46.75
     1.71618	           1	    -118.164	     32.2266	       38.25
